pick_home,pick_away,p_exact,p_gd,p_outcome,p_wrong,exp_points,exp_gd_error
1,0,0.11995,0.10577,0.18634,0.58795,0.75772,1.33901
2,1,0.08396,0.14176,0.18634,0.58795,0.72173,1.33901
3,2,0.0194,0.20631,0.18634,0.58795,0.65717,1.33901
4,3,0.00224,0.22347,0.18634,0.58795,0.64001,1.33901
5,4,0.00016,0.22556,0.18634,0.58795,0.63792,1.33901
6,5,1e-05,0.22571,0.18634,0.58795,0.63777,1.33901
2,0,0.07802,0.04292,0.29111,0.58795,0.61102,1.96633
0,1,0.09999,0.08833,0.12025,0.69143,0.59687,1.54598
3,1,0.03606,0.08488,0.29111,0.58795,0.56906,1.96633
1,2,0.07012,0.1182,0.12025,0.69143,0.56701,1.54598
1,1,0.13147,0.0,0.14791,0.72062,0.54231,1.16312
4,2,0.00625,0.11469,0.29111,0.58795,0.53925,1.96633
5,3,0.00058,0.12036,0.29111,0.58795,0.53357,1.96633
6,4,3e-05,0.12091,0.29111,0.58795,0.53303,1.96633
2,3,0.0162,0.17211,0.12025,0.69143,0.51309,1.54598
3,4,0.00187,0.18644,0.12025,0.69143,0.49876,1.54598
4,5,0.00013,0.18819,0.12025,0.69143,0.49702,1.54598
5,6,1e-05,0.18831,0.12025,0.69143,0.49689,1.54598
3,0,0.03351,0.01336,0.36519,0.58795,0.49243,2.83554
4,1,0.01162,0.03525,0.36519,0.58795,0.47054,2.83554
0,0,0.09513,0.0,0.18424,0.72062,0.46964,1.16312
5,2,0.00161,0.04526,0.36519,0.58795,0.46053,2.83554
6,3,0.00012,0.04674,0.36519,0.58795,0.45905,2.83554
0,2,0.05442,0.02994,0.22421,0.69143,0.44734,2.30547
4,0,0.01079,0.00336,0.3979,0.58795,0.43701,3.79847
5,1,0.00299,0.01116,0.3979,0.58795,0.42921,3.79847
6,2,0.00035,0.01381,0.3979,0.58795,0.42656,3.79847
5,0,0.00278,0.00071,0.40856,0.58795,0.41833,4.78973
1,3,0.02515,0.0592,0.22421,0.69143,0.41808,2.30547
6,1,0.00064,0.00285,0.40856,0.58795,0.41619,4.78973
6,0,0.0006,0.00013,0.41133,0.58795,0.41338,5.78797
2,4,0.00436,0.08,0.22421,0.69143,0.39729,2.30547
3,5,0.0004,0.08395,0.22421,0.69143,0.39333,2.30547
4,6,2e-05,0.08433,0.22421,0.69143,0.39295,2.30547
2,2,0.04517,0.0,0.2342,0.72062,0.36972,1.16312
0,3,0.01952,0.00778,0.28127,0.69143,0.35539,3.23368
1,4,0.00677,0.02053,0.28127,0.69143,0.34264,3.23368
2,5,0.00094,0.02636,0.28127,0.69143,0.33681,3.23368
3,6,7e-05,0.02723,0.28127,0.69143,0.33594,3.23368
0,4,0.00525,0.00164,0.30168,0.69143,0.32071,4.21649
1,5,0.00146,0.00543,0.30168,0.69143,0.31691,4.21649
2,6,0.00017,0.00672,0.30168,0.69143,0.31563,4.21649
0,5,0.00113,0.00029,0.30715,0.69143,0.31112,5.21307
1,6,0.00026,0.00116,0.30715,0.69143,0.31025,5.21307
0,6,0.0002,4e-05,0.30832,0.69143,0.30902,6.2125
3,3,0.00696,0.0,0.27242,0.72062,0.2933,1.16312
4,4,0.0006,0.0,0.27877,0.72062,0.28058,1.16312
5,5,3e-05,0.0,0.27934,0.72062,0.27944,1.16312
6,6,0.0,0.0,0.27937,0.72062,0.27938,1.16312
