pick_home,pick_away,p_exact,p_gd,p_outcome,p_wrong,exp_points,exp_gd_error
0,1,0.11679,0.11457,0.21501,0.55363,0.79453,1.31913
1,2,0.08909,0.14228,0.21501,0.55363,0.76682,1.31913
2,3,0.02244,0.20893,0.21501,0.55363,0.70017,1.31913
3,4,0.00283,0.22854,0.21501,0.55363,0.68056,1.31913
4,5,0.00021,0.23115,0.21501,0.55363,0.67795,1.31913
5,6,1e-05,0.23135,0.21501,0.55363,0.67775,1.31913
0,2,0.08316,0.05065,0.31256,0.55363,0.66334,1.88912
1,3,0.04189,0.09192,0.31256,0.55363,0.62206,1.88912
2,4,0.00791,0.12589,0.31256,0.55363,0.58809,1.88912
3,5,0.0008,0.13301,0.31256,0.55363,0.58097,1.88912
4,6,5e-05,0.13376,0.31256,0.55363,0.58023,1.88912
1,0,0.08843,0.08701,0.10952,0.71504,0.54884,1.64195
0,3,0.0391,0.0172,0.39007,0.55363,0.54177,2.72672
2,1,0.06766,0.10779,0.10952,0.71504,0.52806,1.64195
1,1,0.12743,0.0,0.14124,0.73133,0.52353,1.21188
1,4,0.01477,0.04153,0.39007,0.55363,0.51744,2.72672
2,5,0.00223,0.05407,0.39007,0.55363,0.5049,2.72672
3,6,0.00019,0.05611,0.39007,0.55363,0.50286,2.72672
0,4,0.01379,0.00473,0.42785,0.55363,0.47868,3.67692
3,2,0.01704,0.15841,0.10952,0.71504,0.47745,1.64195
1,5,0.00417,0.01435,0.42785,0.55363,0.46906,3.67692
2,6,0.00052,0.01799,0.42785,0.55363,0.46542,3.67692
4,3,0.00215,0.1733,0.10952,0.71504,0.46255,1.64195
5,4,0.00016,0.17528,0.10952,0.71504,0.46057,1.64195
6,5,1e-05,0.17544,0.10952,0.71504,0.46041,1.64195
0,5,0.00389,0.00109,0.44139,0.55363,0.45524,4.66416
1,6,0.00098,0.004,0.44139,0.55363,0.45233,4.66416
0,6,0.00091,0.00022,0.44524,0.55363,0.44842,5.66136
0,0,0.08471,0.0,0.18396,0.73133,0.43808,1.21188
2,0,0.04797,0.02921,0.20778,0.71504,0.4101,2.42292
3,1,0.02416,0.05302,0.20778,0.71504,0.3863,2.42292
4,2,0.00456,0.07261,0.20778,0.71504,0.3667,2.42292
2,2,0.04772,0.0,0.22095,0.73133,0.3641,1.21188
5,3,0.00046,0.07672,0.20778,0.71504,0.3626,2.42292
6,4,3e-05,0.07715,0.20778,0.71504,0.36217,2.42292
3,0,0.01713,0.00753,0.2603,0.71504,0.32675,3.35825
4,1,0.00647,0.01819,0.2603,0.71504,0.31609,3.35825
5,2,0.00098,0.02369,0.2603,0.71504,0.3106,3.35825
6,3,8e-05,0.02458,0.2603,0.71504,0.30971,3.35825
4,0,0.00459,0.00157,0.2788,0.71504,0.29571,4.3429
5,1,0.00139,0.00477,0.2788,0.71504,0.29251,4.3429
6,2,0.00017,0.00599,0.2788,0.71504,0.2913,4.3429
5,0,0.00098,0.00028,0.2837,0.71504,0.2872,5.33987
6,1,0.00025,0.00101,0.2837,0.71504,0.28647,5.33987
6,0,0.00018,4e-05,0.28474,0.71504,0.28535,6.33937
3,3,0.00801,0.0,0.26066,0.73133,0.28469,1.21188
4,4,0.00076,0.0,0.26791,0.73133,0.27018,1.21188
5,5,5e-05,0.0,0.26862,0.73133,0.26876,1.21188
6,6,0.0,0.0,0.26867,0.73133,0.26867,1.21188
