pick_home,pick_away,p_exact,p_gd,p_outcome,p_wrong,exp_points,exp_gd_error
1,0,0.11199,0.10792,0.18257,0.59752,0.73438,1.37629
2,1,0.08422,0.13569,0.18257,0.59752,0.70661,1.37629
3,2,0.0209,0.19901,0.18257,0.59752,0.64329,1.37629
4,3,0.00259,0.21732,0.18257,0.59752,0.62498,1.37629
5,4,0.00019,0.21972,0.18257,0.59752,0.62258,1.37629
6,5,1e-05,0.2199,0.18257,0.59752,0.6224,1.37629
0,1,0.09764,0.09423,0.131,0.67713,0.61238,1.5355
2,0,0.07387,0.04421,0.2844,0.59752,0.59442,2.01116
1,2,0.07354,0.11833,0.131,0.67713,0.58829,1.5355
3,1,0.03666,0.08141,0.2844,0.59752,0.55721,2.01116
1,1,0.13013,0.0,0.14452,0.72535,0.53491,1.18125
2,3,0.01825,0.17362,0.131,0.67713,0.533,1.5355
4,2,0.00682,0.11125,0.2844,0.59752,0.52738,2.01116
5,3,0.00068,0.1174,0.2844,0.59752,0.52123,2.01116
6,4,4e-05,0.11803,0.2844,0.59752,0.52059,2.01116
3,4,0.00226,0.18961,0.131,0.67713,0.51701,1.5355
4,5,0.00017,0.1917,0.131,0.67713,0.51491,1.5355
5,6,1e-05,0.19186,0.131,0.67713,0.51475,1.5355
3,0,0.03215,0.01391,0.35642,0.59752,0.48069,2.88217
0,2,0.05631,0.0337,0.23286,0.67713,0.46921,2.2735
4,1,0.01197,0.03409,0.35642,0.59752,0.46051,2.88217
5,2,0.00178,0.04428,0.35642,0.59752,0.45032,2.88217
0,0,0.08777,0.0,0.18688,0.72535,0.45019,1.18125
6,3,0.00015,0.04591,0.35642,0.59752,0.44869,2.88217
1,3,0.02795,0.06207,0.23286,0.67713,0.44084,2.2735
4,0,0.0105,0.00354,0.38844,0.59752,0.42702,3.8453
5,1,0.00313,0.01091,0.38844,0.59752,0.41964,3.8453
2,4,0.0052,0.08482,0.23286,0.67713,0.41809,2.2735
6,2,0.00039,0.01365,0.38844,0.59752,0.41691,3.8453
3,5,0.00052,0.0895,0.23286,0.67713,0.41341,2.2735
4,6,3e-05,0.08999,0.23286,0.67713,0.41292,2.2735
5,0,0.00274,0.00076,0.39898,0.59752,0.40872,4.83652
6,1,0.00068,0.00282,0.39898,0.59752,0.40666,4.83652
6,0,0.0006,0.00014,0.40174,0.59752,0.40381,5.83473
0,3,0.0214,0.00926,0.29221,0.67713,0.37494,3.19153
2,2,0.04802,0.0,0.22663,0.72535,0.37068,1.18125
1,4,0.00797,0.02269,0.29221,0.67713,0.3615,3.19153
2,5,0.00119,0.02948,0.29221,0.67713,0.35472,3.19153
3,6,0.0001,0.03056,0.29221,0.67713,0.35363,3.19153
0,4,0.0061,0.00206,0.31471,0.67713,0.33714,4.17088
1,5,0.00182,0.00634,0.31471,0.67713,0.33285,4.17088
2,6,0.00023,0.00794,0.31471,0.67713,0.33126,4.17088
0,5,0.00139,0.00038,0.3211,0.67713,0.32604,5.16656
1,6,0.00035,0.00143,0.3211,0.67713,0.32499,5.16656
0,6,0.00026,6e-05,0.32255,0.67713,0.32346,6.16579
3,3,0.00794,0.0,0.2667,0.72535,0.29054,1.18125
4,4,0.00074,0.0,0.27391,0.72535,0.27613,1.18125
5,5,4e-05,0.0,0.2746,0.72535,0.27474,1.18125
6,6,0.0,0.0,0.27465,0.72535,0.27465,1.18125
