pick_home,pick_away,p_exact,p_gd,p_outcome,p_wrong,exp_points,exp_gd_error
1,0,0.13875,0.1186,0.32138,0.42127,0.97483,1.20384
2,1,0.09465,0.1627,0.32138,0.42127,0.93073,1.20384
2,0,0.11701,0.06263,0.39909,0.42127,0.87538,1.56108
3,2,0.02137,0.23598,0.32138,0.42127,0.85745,1.20384
4,3,0.00241,0.25494,0.32138,0.42127,0.83849,1.20384
5,4,0.00016,0.25719,0.32138,0.42127,0.83624,1.20384
6,5,1e-05,0.25734,0.32138,0.42127,0.83609,1.20384
3,1,0.05283,0.12681,0.39909,0.42127,0.8112,1.56108
4,2,0.00895,0.1707,0.39909,0.42127,0.76732,1.56108
5,3,0.00081,0.17883,0.39909,0.42127,0.75918,1.56108
6,4,5e-05,0.1796,0.39909,0.42127,0.75842,1.56108
3,0,0.06531,0.02535,0.48807,0.42127,0.73471,2.2776
4,1,0.02212,0.06855,0.48807,0.42127,0.69151,2.2776
5,2,0.003,0.08767,0.48807,0.42127,0.67239,2.2776
6,3,0.00023,0.09044,0.48807,0.42127,0.66962,2.2776
4,0,0.02734,0.0083,0.54309,0.42127,0.64171,3.17545
5,1,0.00741,0.02824,0.54309,0.42127,0.62178,3.17545
6,2,0.00084,0.03481,0.54309,0.42127,0.61521,3.17545
5,0,0.00916,0.00228,0.56729,0.42127,0.59932,4.14458
6,1,0.00207,0.00937,0.56729,0.42127,0.59223,4.14458
6,0,0.00256,0.00054,0.57564,0.42127,0.58438,5.13659
1,1,0.11404,0.0,0.12901,0.75695,0.47113,1.3613
0,0,0.08445,0.0,0.1586,0.75695,0.41196,1.3613
0,1,0.06651,0.05729,0.05442,0.82178,0.36852,2.00486
1,2,0.04572,0.07808,0.05442,0.82178,0.34774,2.00486
2,2,0.03828,0.0,0.20477,0.75695,0.31961,1.3613
2,3,0.01032,0.11348,0.05442,0.82178,0.31234,2.00486
3,4,0.00117,0.12263,0.05442,0.82178,0.30318,2.00486
4,5,8e-05,0.12372,0.05442,0.82178,0.30209,2.00486
5,6,0.0,0.12379,0.05442,0.82178,0.30202,2.00486
3,3,0.00576,0.0,0.23729,0.75695,0.25457,1.3613
0,2,0.0273,0.01461,0.1363,0.82178,0.24744,2.89602
4,4,0.00049,0.0,0.24256,0.75695,0.24403,1.3613
5,5,3e-05,0.0,0.24303,0.75695,0.2431,1.3613
6,6,0.0,0.0,0.24305,0.75695,0.24305,1.3613
1,3,0.01233,0.02959,0.1363,0.82178,0.23246,2.89602
2,4,0.00209,0.03983,0.1363,0.82178,0.22222,2.89602
3,5,0.00019,0.04173,0.1363,0.82178,0.22032,2.89602
4,6,1e-05,0.04191,0.1363,0.82178,0.22015,2.89602
0,3,0.00736,0.00286,0.168,0.82178,0.1958,3.87101
1,4,0.00249,0.00773,0.168,0.82178,0.19093,3.87101
2,5,0.00034,0.00988,0.168,0.82178,0.18878,3.87101
3,6,3e-05,0.01019,0.168,0.82178,0.18846,3.87101
0,4,0.00149,0.00045,0.17628,0.82178,0.18165,4.86644
1,5,0.0004,0.00154,0.17628,0.82178,0.18056,4.86644
2,6,5e-05,0.0019,0.17628,0.82178,0.1802,4.86644
0,5,0.00024,6e-05,0.17792,0.82178,0.17876,5.86575
1,6,5e-05,0.00025,0.17792,0.82178,0.17857,5.86575
0,6,3e-05,1e-05,0.17818,0.82178,0.17829,6.86566
