pick_home,pick_away,p_exact,p_gd,p_outcome,p_wrong,exp_points,exp_gd_error
1,0,0.14625,0.09476,0.18714,0.57185,0.81541,1.24113
2,1,0.07923,0.16178,0.18714,0.57185,0.74839,1.24113
3,2,0.01419,0.22682,0.18714,0.57185,0.68336,1.24113
4,3,0.00127,0.23974,0.18714,0.57185,0.67043,1.24113
5,4,7e-05,0.24094,0.18714,0.57185,0.66923,1.24113
6,5,0.0,0.24101,0.18714,0.57185,0.66916,1.24113
2,0,0.08831,0.03621,0.30362,0.57185,0.64099,1.86686
3,1,0.03164,0.09288,0.30362,0.57185,0.58432,1.86686
1,1,0.13342,0.0,0.16429,0.7023,0.56454,1.09743
0,1,0.10921,0.07095,0.09398,0.72585,0.56352,1.54914
4,2,0.00425,0.12028,0.30362,0.57185,0.55693,1.86686
5,3,0.0003,0.12422,0.30362,0.57185,0.55298,1.86686
6,4,1e-05,0.12451,0.30362,0.57185,0.55269,1.86686
0,0,0.1242,0.0,0.1735,0.7023,0.54611,1.09743
1,2,0.05932,0.12084,0.09398,0.72585,0.51363,1.54914
3,0,0.03527,0.01056,0.38232,0.57185,0.50925,2.74164
4,1,0.00948,0.03635,0.38232,0.57185,0.48346,2.74164
5,2,0.00102,0.04481,0.38232,0.57185,0.475,2.74164
6,3,6e-05,0.04577,0.38232,0.57185,0.47404,2.74164
2,3,0.01063,0.16954,0.09398,0.72585,0.46494,1.54914
3,4,0.00095,0.17921,0.09398,0.72585,0.45526,1.54914
4,5,5e-05,0.18011,0.09398,0.72585,0.45436,1.54914
5,6,0.0,0.18016,0.09398,0.72585,0.45431,1.54914
4,0,0.01057,0.00249,0.4151,0.57185,0.45176,3.70809
5,1,0.00227,0.01078,0.4151,0.57185,0.44347,3.70809
6,2,0.0002,0.01285,0.4151,0.57185,0.4414,3.70809
5,0,0.00253,0.00049,0.42513,0.57185,0.4337,4.70064
6,1,0.00045,0.00257,0.42513,0.57185,0.43162,4.70064
6,0,0.00051,8e-05,0.42756,0.57185,0.42924,5.69923
0,2,0.04951,0.0203,0.20433,0.72585,0.39347,2.36117
2,2,0.03554,0.0,0.26217,0.7023,0.36878,1.09743
1,3,0.01774,0.05207,0.20433,0.72585,0.3617,2.36117
2,4,0.00238,0.06743,0.20433,0.72585,0.34634,2.36117
3,5,0.00017,0.06964,0.20433,0.72585,0.34413,2.36117
4,6,1e-05,0.06981,0.20433,0.72585,0.34397,2.36117
0,3,0.01481,0.00443,0.25491,0.72585,0.30819,3.31283
3,3,0.00424,0.0,0.29346,0.7023,0.30619,1.09743
4,4,0.00029,0.0,0.29742,0.7023,0.29827,1.09743
5,5,1e-05,0.0,0.29769,0.7023,0.29773,1.09743
6,6,0.0,0.0,0.2977,0.7023,0.2977,1.09743
1,4,0.00398,0.01526,0.25491,0.72585,0.29736,3.31283
2,5,0.00043,0.01881,0.25491,0.72585,0.29381,3.31283
3,6,3e-05,0.01921,0.25491,0.72585,0.29341,3.31283
0,4,0.00332,0.00078,0.27005,0.72585,0.28157,4.30297
1,5,0.00071,0.00339,0.27005,0.72585,0.27896,4.30297
2,6,6e-05,0.00404,0.27005,0.72585,0.27831,4.30297
0,5,0.0006,0.00012,0.27344,0.72585,0.27545,5.30131
1,6,0.00011,0.0006,0.27344,0.72585,0.27496,5.30131
0,6,9e-05,1e-05,0.27404,0.72585,0.27434,6.30107
