pick_home,pick_away,p_exact,p_gd,p_outcome,p_wrong,exp_points,exp_gd_error
0,2,0.13615,0.08422,0.52008,0.25955,1.09696,1.37261
0,1,0.11805,0.11728,0.50512,0.25955,1.09382,1.38285
1,2,0.09089,0.14443,0.50512,0.25955,1.06667,1.38285
1,3,0.06948,0.15089,0.52008,0.25955,1.03029,1.37261
2,3,0.02319,0.21214,0.50512,0.25955,0.99896,1.38285
0,3,0.10407,0.04647,0.58991,0.25955,0.99506,1.8031
3,4,0.00296,0.23237,0.50512,0.25955,0.97873,1.38285
4,5,0.00023,0.2351,0.50512,0.25955,0.976,1.38285
5,6,1e-05,0.23531,0.50512,0.25955,0.97578,1.38285
2,4,0.01329,0.20707,0.52008,0.25955,0.97411,1.37261
3,5,0.00136,0.21901,0.52008,0.25955,0.96217,1.37261
4,6,9e-05,0.22028,0.52008,0.25955,0.9609,1.37261
1,4,0.03983,0.11071,0.58991,0.25955,0.93082,1.8031
2,5,0.0061,0.14444,0.58991,0.25955,0.89709,1.8031
3,6,0.00052,0.15002,0.58991,0.25955,0.89151,1.8031
0,4,0.05966,0.02077,0.66001,0.25955,0.88054,2.53467
1,5,0.01827,0.06217,0.66001,0.25955,0.83915,2.53467
2,6,0.00233,0.0781,0.66001,0.25955,0.82321,2.53467
0,5,0.02736,0.0078,0.70529,0.25955,0.80296,3.42711
1,6,0.00698,0.02818,0.70529,0.25955,0.78258,3.42711
0,6,0.01046,0.00252,0.72747,0.25955,0.76388,4.38987
1,1,0.07998,0.0,0.08851,0.83151,0.32844,1.86374
0,0,0.05248,0.0,0.116,0.83151,0.27345,1.86374
2,2,0.03034,0.0,0.13815,0.83151,0.22917,1.86374
1,0,0.03387,0.03414,0.02305,0.90893,0.19295,2.68161
2,1,0.02646,0.04155,0.02305,0.90893,0.18554,2.68161
3,3,0.00516,0.0,0.16332,0.83151,0.17881,1.86374
4,4,0.00049,0.0,0.16799,0.83151,0.16947,1.86374
5,5,3e-05,0.0,0.16846,0.83151,0.16855,1.86374
6,6,0.0,0.0,0.16848,0.83151,0.16849,1.86374
3,2,0.00675,0.06126,0.02305,0.90893,0.16583,2.68161
4,3,0.00086,0.06715,0.02305,0.90893,0.15994,2.68161
5,4,7e-05,0.06795,0.02305,0.90893,0.15915,2.68161
6,5,0.0,0.06801,0.02305,0.90893,0.15909,2.68161
2,0,0.01154,0.00714,0.07239,0.90893,0.12128,3.6355
3,1,0.00589,0.01279,0.07239,0.90893,0.11563,3.6355
4,2,0.00113,0.01755,0.07239,0.90893,0.11087,3.6355
5,3,0.00012,0.01856,0.07239,0.90893,0.10986,3.6355
6,4,1e-05,0.01867,0.07239,0.90893,0.10975,3.6355
3,0,0.00257,0.00115,0.08735,0.90893,0.09735,4.62675
4,1,0.00098,0.00273,0.08735,0.90893,0.09576,4.62675
5,2,0.00015,0.00356,0.08735,0.90893,0.09493,4.62675
6,3,1e-05,0.0037,0.08735,0.90893,0.09479,4.62675
4,0,0.00043,0.00015,0.09049,0.90893,0.09207,5.62543
5,1,0.00013,0.00045,0.09049,0.90893,0.09178,5.62543
6,2,2e-05,0.00056,0.09049,0.90893,0.09166,5.62543
5,0,6e-05,2e-05,0.09099,0.90893,0.0912,6.62527
6,1,1e-05,6e-05,0.09099,0.90893,0.09116,6.62527
6,0,1e-05,0.0,0.09106,0.90893,0.09108,7.62525
