pick_home,pick_away,p_exact,p_gd,p_outcome,p_wrong,exp_points,exp_gd_error
0,2,0.13086,0.08674,0.5135,0.26889,1.07957,1.38988
0,1,0.11342,0.12123,0.49645,0.26889,1.07918,1.38279
1,2,0.09255,0.14211,0.49645,0.26889,1.0583,1.38279
1,3,0.07074,0.14686,0.5135,0.26889,1.01945,1.38988
2,3,0.02501,0.20964,0.49645,0.26889,0.99077,1.38279
0,3,0.10003,0.04776,0.58332,0.26889,0.97892,1.83218
3,4,0.00338,0.23127,0.49645,0.26889,0.96914,1.38279
4,5,0.00027,0.23438,0.49645,0.26889,0.96603,1.38279
5,6,1e-05,0.23464,0.49645,0.26889,0.96577,1.38279
2,4,0.01434,0.20326,0.5135,0.26889,0.96305,1.38988
3,5,0.00155,0.21605,0.5135,0.26889,0.95026,1.38988
4,6,0.0001,0.2175,0.5135,0.26889,0.94881,1.38988
1,4,0.04055,0.10723,0.58332,0.26889,0.91944,1.83218
2,5,0.00658,0.14121,0.58332,0.26889,0.88547,1.83218
3,6,0.00059,0.14719,0.58332,0.26889,0.87948,1.83218
0,4,0.05734,0.02132,0.65245,0.26889,0.86711,2.57005
1,5,0.0186,0.06006,0.65245,0.26889,0.82836,2.57005
2,6,0.00251,0.07615,0.65245,0.26889,0.81228,2.57005
0,5,0.0263,0.00799,0.69682,0.26889,0.79169,3.46524
1,6,0.00711,0.02718,0.69682,0.26889,0.7725,3.46524
0,6,0.01005,0.00258,0.71848,0.26889,0.75379,4.429
1,1,0.08143,0.0,0.08974,0.82883,0.33403,1.845
0,0,0.05049,0.0,0.12069,0.82883,0.27215,1.845
2,2,0.03272,0.0,0.13845,0.82883,0.23662,1.845
1,0,0.03449,0.03739,0.02585,0.90228,0.20408,2.64956
2,1,0.02854,0.04333,0.02585,0.90228,0.19813,2.64956
3,3,0.0059,0.0,0.16528,0.82883,0.18297,1.845
3,2,0.00771,0.06416,0.02585,0.90228,0.17731,2.64956
4,4,0.0006,0.0,0.17058,0.82883,0.17237,1.845
5,5,4e-05,0.0,0.17113,0.82883,0.17125,1.845
6,6,0.0,0.0,0.17117,0.82883,0.17118,1.845
4,3,0.00104,0.07083,0.02585,0.90228,0.17064,2.64956
5,4,8e-05,0.07179,0.02585,0.90228,0.16968,2.64956
6,5,0.0,0.07187,0.02585,0.90228,0.1696,2.64956
2,0,0.01245,0.00825,0.07703,0.90228,0.13086,3.59786
3,1,0.00673,0.01397,0.07703,0.90228,0.12514,3.59786
4,2,0.00136,0.01933,0.07703,0.90228,0.11978,3.59786
5,3,0.00015,0.02055,0.07703,0.90228,0.11856,3.59786
6,4,1e-05,0.02069,0.07703,0.90228,0.11843,3.59786
3,0,0.00293,0.0014,0.09339,0.90228,0.10499,4.58755
4,1,0.00119,0.00315,0.09339,0.90228,0.10325,4.58755
5,2,0.00019,0.00414,0.09339,0.90228,0.10225,4.58755
6,3,2e-05,0.00432,0.09339,0.90228,0.10207,4.58755
4,0,0.00052,0.00019,0.09701,0.90228,0.09895,5.58591
5,1,0.00017,0.00054,0.09701,0.90228,0.0986,5.58591
6,2,2e-05,0.00069,0.09701,0.90228,0.09846,5.58591
5,0,7e-05,2e-05,0.09763,0.90228,0.09789,6.5857
6,1,2e-05,8e-05,0.09763,0.90228,0.09784,6.5857
6,0,1e-05,0.0,0.09771,0.90228,0.09774,7.58567
