pick_home,pick_away,p_exact,p_gd,p_outcome,p_wrong,exp_points,exp_gd_error
0,1,0.12145,0.12771,0.33978,0.41107,0.95954,1.25203
1,2,0.09786,0.15129,0.33978,0.41107,0.93595,1.25203
0,2,0.11032,0.0719,0.40672,0.41107,0.88147,1.57248
2,3,0.02608,0.22308,0.33978,0.41107,0.86417,1.25203
3,4,0.00348,0.24568,0.33978,0.41107,0.84157,1.25203
4,5,0.00028,0.24888,0.33978,0.41107,0.83837,1.25203
5,6,1e-05,0.24914,0.33978,0.41107,0.83811,1.25203
1,3,0.0588,0.12342,0.40672,0.41107,0.82995,1.57248
2,4,0.01175,0.17047,0.40672,0.41107,0.78291,1.57248
3,5,0.00125,0.18097,0.40672,0.41107,0.77241,1.57248
4,6,8e-05,0.18213,0.40672,0.41107,0.77124,1.57248
0,3,0.06629,0.03114,0.49151,0.41107,0.75265,2.25736
1,4,0.0265,0.07092,0.49151,0.41107,0.71286,2.25736
2,5,0.00424,0.09319,0.49151,0.41107,0.69059,2.25736
3,6,0.00038,0.09705,0.49151,0.41107,0.68673,2.25736
0,4,0.02987,0.01093,0.54813,0.41107,0.65961,3.13709
1,5,0.00955,0.03125,0.54813,0.41107,0.63929,3.13709
2,6,0.00127,0.03953,0.54813,0.41107,0.63101,3.13709
0,5,0.01077,0.00322,0.57494,0.41107,0.61369,4.09843
1,6,0.00287,0.01112,0.57494,0.41107,0.60579,4.09843
0,6,0.00324,0.00082,0.58488,0.41107,0.59622,5.08774
1,1,0.10954,0.0,0.1208,0.76966,0.44942,1.4299
0,0,0.06886,0.0,0.16148,0.76966,0.36807,1.4299
1,0,0.05928,0.06285,0.0586,0.81928,0.36212,2.06845
2,1,0.04816,0.07397,0.0586,0.81928,0.35101,2.06845
2,2,0.04341,0.0,0.18694,0.76966,0.31715,1.4299
3,2,0.01283,0.10929,0.0586,0.81928,0.31568,2.06845
4,3,0.00171,0.12041,0.0586,0.81928,0.30456,2.06845
5,4,0.00014,0.12199,0.0586,0.81928,0.30298,2.06845
6,5,1e-05,0.12212,0.0586,0.81928,0.30285,2.06845
2,0,0.02672,0.01741,0.1366,0.81928,0.25157,2.95125
3,3,0.00771,0.0,0.22263,0.76966,0.24577,1.4299
3,1,0.01424,0.02989,0.1366,0.81928,0.23909,2.95125
4,4,0.00077,0.0,0.22957,0.76966,0.23188,1.4299
5,5,5e-05,0.0,0.23029,0.76966,0.23044,1.4299
6,6,0.0,0.0,0.23034,0.76966,0.23035,1.4299
4,2,0.00285,0.04128,0.1366,0.81928,0.2277,2.95125
5,3,0.0003,0.04382,0.1366,0.81928,0.22515,2.95125
6,4,2e-05,0.04411,0.1366,0.81928,0.22487,2.95125
3,0,0.0079,0.00371,0.16911,0.81928,0.20023,3.92231
4,1,0.00316,0.00845,0.16911,0.81928,0.19549,3.92231
5,2,0.0005,0.01111,0.16911,0.81928,0.19284,3.92231
6,3,4e-05,0.01157,0.16911,0.81928,0.19238,3.92231
4,0,0.00175,0.00064,0.17833,0.81928,0.18487,4.91659
5,1,0.00056,0.00183,0.17833,0.81928,0.18368,4.91659
6,2,7e-05,0.00232,0.17833,0.81928,0.18319,4.91659
5,0,0.00031,9e-05,0.18032,0.81928,0.18144,5.91565
6,1,8e-05,0.00032,0.18032,0.81928,0.18121,5.91565
6,0,5e-05,1e-05,0.18067,0.81928,0.18083,6.91552
