pick_home,pick_away,p_exact,p_gd,p_outcome,p_wrong,exp_points,exp_gd_error
0,1,0.11785,0.11497,0.21874,0.54845,0.80222,1.31162
1,2,0.08949,0.14333,0.21874,0.54845,0.77386,1.31162
2,3,0.02244,0.21038,0.21874,0.54845,0.70681,1.31162
3,4,0.00281,0.23,0.21874,0.54845,0.68719,1.31162
4,5,0.00021,0.23261,0.21874,0.54845,0.68458,1.31162
5,6,1e-05,0.23281,0.21874,0.54845,0.68438,1.31162
0,2,0.08445,0.05117,0.31593,0.54845,0.67163,1.87415
1,3,0.04235,0.09327,0.31593,0.54845,0.62953,1.87415
2,4,0.00797,0.12766,0.31593,0.54845,0.59514,1.87415
3,5,0.0008,0.13483,0.31593,0.54845,0.58798,1.87415
4,6,5e-05,0.13557,0.31593,0.54845,0.58723,1.87415
0,3,0.03997,0.0175,0.39409,0.54845,0.54899,2.70792
1,0,0.08767,0.0858,0.10677,0.71976,0.54138,1.65425
1,4,0.01503,0.04243,0.39409,0.54845,0.52405,2.70792
1,1,0.12717,0.0,0.14103,0.73179,0.52255,1.21473
2,1,0.06679,0.10668,0.10677,0.71976,0.5205,1.65425
2,5,0.00226,0.0552,0.39409,0.54845,0.51128,2.70792
3,6,0.00019,0.05728,0.39409,0.54845,0.50921,2.70792
0,4,0.01419,0.00484,0.43252,0.54845,0.48477,3.65663
1,5,0.00427,0.01476,0.43252,0.54845,0.47486,3.65663
2,6,0.00054,0.0185,0.43252,0.54845,0.47112,3.65663
3,2,0.01675,0.15673,0.10677,0.71976,0.47046,1.65425
0,5,0.00403,0.00113,0.4464,0.54845,0.46074,4.6434
1,6,0.00101,0.00414,0.4464,0.54845,0.45772,4.6434
4,3,0.0021,0.17137,0.10677,0.71976,0.45581,1.65425
5,4,0.00016,0.17332,0.10677,0.71976,0.45387,1.65425
6,5,1e-05,0.17347,0.10677,0.71976,0.45372,1.65425
0,6,0.00095,0.00023,0.45038,0.54845,0.45369,5.64049
0,0,0.0849,0.0,0.18331,0.73179,0.43801,1.21473
2,0,0.04704,0.0285,0.2047,0.71976,0.40282,2.44072
3,1,0.02359,0.05195,0.2047,0.71976,0.37937,2.44072
2,2,0.04741,0.0,0.22079,0.73179,0.36304,1.21473
4,2,0.00444,0.0711,0.2047,0.71976,0.36022,2.44072
5,3,0.00044,0.0751,0.2047,0.71976,0.35622,2.44072
6,4,3e-05,0.07551,0.2047,0.71976,0.35581,2.44072
3,0,0.01662,0.00727,0.25635,0.71976,0.32074,3.37827
4,1,0.00625,0.01764,0.25635,0.71976,0.31038,3.37827
5,2,0.00094,0.02295,0.25635,0.71976,0.30507,3.37827
6,3,8e-05,0.02381,0.25635,0.71976,0.3042,3.37827
4,0,0.0044,0.0015,0.27433,0.71976,0.29054,4.3636
5,1,0.00132,0.00458,0.27433,0.71976,0.28747,4.3636
6,2,0.00017,0.00574,0.27433,0.71976,0.28631,4.3636
3,3,0.00793,0.0,0.26028,0.73179,0.28406,1.21473
5,0,0.00093,0.00026,0.27905,0.71976,0.28236,5.36074
6,1,0.00023,0.00096,0.27905,0.71976,0.28167,5.36074
6,0,0.00016,4e-05,0.28003,0.71976,0.28061,6.36026
4,4,0.00075,0.0,0.26746,0.73179,0.2697,1.21473
5,5,4e-05,0.0,0.26816,0.73179,0.2683,1.21473
6,6,0.0,0.0,0.26821,0.73179,0.26821,1.21473
