pick_home,pick_away,p_exact,p_gd,p_outcome,p_wrong,exp_points,exp_gd_error
0,2,0.14475,0.08277,0.57783,0.19465,1.17762,1.35977
0,1,0.11248,0.10281,0.59006,0.19465,1.13312,1.53988
0,3,0.12356,0.05114,0.63065,0.19465,1.10361,1.63469
1,3,0.06913,0.15839,0.57783,0.19465,1.102,1.35977
1,2,0.08099,0.1343,0.59006,0.19465,1.10162,1.53988
2,4,0.01238,0.21514,0.57783,0.19465,1.04525,1.35977
2,3,0.01934,0.19595,0.59006,0.19465,1.03998,1.53988
3,5,0.00118,0.22634,0.57783,0.19465,1.03405,1.35977
4,6,7e-05,0.22745,0.57783,0.19465,1.03294,1.35977
1,4,0.04426,0.13044,0.63065,0.19465,1.02431,1.63469
3,4,0.00231,0.21298,0.59006,0.19465,1.02295,1.53988
4,5,0.00017,0.21512,0.59006,0.19465,1.0208,1.53988
5,6,1e-05,0.21528,0.59006,0.19465,1.02065,1.53988
0,4,0.07911,0.02557,0.70066,0.19465,0.98914,2.25902
2,5,0.00634,0.16836,0.63065,0.19465,0.98639,1.63469
3,6,0.0005,0.1742,0.63065,0.19465,0.98055,1.63469
1,5,0.02267,0.08201,0.70066,0.19465,0.9327,2.25902
2,6,0.00271,0.10198,0.70066,0.19465,0.91274,2.25902
0,5,0.04052,0.01073,0.7541,0.19465,0.89712,3.09272
1,6,0.00968,0.04157,0.7541,0.19465,0.86627,3.09272
0,6,0.0173,0.00387,0.78418,0.19465,0.84381,4.02891
1,1,0.0638,0.0,0.0713,0.86489,0.26272,2.15058
0,0,0.0447,0.0,0.09041,0.86489,0.2245,2.15058
2,2,0.02266,0.0,0.11245,0.86489,0.18042,2.15058
3,3,0.00361,0.0,0.1315,0.86489,0.14232,2.15058
4,4,0.00032,0.0,0.13478,0.86489,0.13575,2.15058
5,5,2e-05,0.0,0.13509,0.86489,0.13514,2.15058
6,6,0.0,0.0,0.13511,0.86489,0.13511,2.15058
1,0,0.02414,0.02246,0.01295,0.94046,0.13028,3.03149
2,1,0.01769,0.0289,0.01295,0.94046,0.12384,3.03149
3,2,0.00423,0.04237,0.01295,0.94046,0.11037,3.03149
4,3,0.0005,0.04609,0.01295,0.94046,0.10665,3.03149
5,4,4e-05,0.04656,0.01295,0.94046,0.10618,3.03149
6,5,0.0,0.0466,0.01295,0.94046,0.10614,3.03149
2,0,0.00691,0.00395,0.04869,0.94046,0.07731,4.00559
3,1,0.0033,0.00756,0.04869,0.94046,0.0737,4.00559
4,2,0.00059,0.01027,0.04869,0.94046,0.071,4.00559
5,3,6e-05,0.0108,0.04869,0.94046,0.07046,4.00559
6,4,0.0,0.01086,0.04869,0.94046,0.07041,4.00559
3,0,0.00129,0.00053,0.05772,0.94046,0.06266,5.00142
4,1,0.00046,0.00136,0.05772,0.94046,0.06183,5.00142
5,2,7e-05,0.00176,0.05772,0.94046,0.06143,5.00142
6,3,1e-05,0.00182,0.05772,0.94046,0.06137,5.00142
4,0,0.00018,6e-05,0.05931,0.94046,0.05996,6.00088
5,1,5e-05,0.00019,0.05931,0.94046,0.05984,6.00088
6,2,1e-05,0.00023,0.05931,0.94046,0.05979,6.00088
5,0,2e-05,1e-05,0.05952,0.94046,0.05959,7.00083
6,1,0.0,2e-05,0.05952,0.94046,0.05958,7.00083
6,0,0.0,0.0,0.05954,0.94046,0.05955,8.00082
