league,season,date,stage,knockout,decided_by,event_id,home,away,home_id,away_id,home_score,away_score,provider,home_ml,draw_ml,away_ml,over_under,over_odds,under_odds
eng.1,2022,2022-08-05T19:00Z,2022-23-english-premier-league,False,regulation,638199,CRY,ARS,384,359,0,2,Bet365,350,260.0,-125,2.5,110.0,-138.0
eng.1,2022,2022-08-06T11:30Z,2022-23-english-premier-league,False,regulation,638200,FUL,LIV,370,364,2,2,Bet365,1000,475.0,-350,2.5,-200.0,163.0
eng.1,2022,2022-08-06T14:00Z,2022-23-english-premier-league,False,regulation,638201,BOU,AVL,349,362,2,0,Bet365,300,250.0,-105,2.5,110.0,-138.0
eng.1,2022,2022-08-06T14:00Z,2022-23-english-premier-league,False,regulation,638202,LEE,WOL,357,380,2,1,Bet365,138,230.0,200,2.5,-110.0,-110.0
eng.1,2022,2022-08-06T14:00Z,2022-23-english-premier-league,False,regulation,638203,TOT,SOU,367,376,4,1,Bet365,-275,400.0,750,2.5,-163.0,130.0
eng.1,2022,2022-08-06T14:00Z,2022-23-english-premier-league,False,regulation,638204,NEW,NFO,361,393,2,0,Bet365,-188,300.0,500,2.5,-110.0,-110.0
eng.1,2022,2022-08-06T16:30Z,2022-23-english-premier-league,False,regulation,638206,EVE,CHE,368,363,0,1,Bet365,550,320.0,-182,2.5,110.0,-138.0
eng.1,2022,2022-08-07T13:00Z,2022-23-english-premier-league,False,regulation,638205,LEI,BRE,375,337,2,2,Bet365,-110,275.0,280,2.5,-110.0,-110.0
eng.1,2022,2022-08-07T13:00Z,2022-23-english-premier-league,False,regulation,638207,MAN,BHA,360,331,1,2,Bet365,-125,275.0,333,2.5,-110.0,-110.0
eng.1,2022,2022-08-07T15:30Z,2022-23-english-premier-league,False,regulation,638208,WHU,MNC,371,382,0,2,Bet365,650,425.0,-275,2.5,-200.0,163.0
eng.1,2022,2022-08-13T11:30Z,2022-23-english-premier-league,False,regulation,638210,AVL,EVE,362,368,2,1,Bet365,-133,250.0,400,2.5,110.0,-138.0
eng.1,2022,2022-08-13T14:00Z,2022-23-english-premier-league,False,regulation,638209,ARS,LEI,359,375,4,2,Bet365,-182,333.0,450,2.5,-150.0,120.0
eng.1,2022,2022-08-13T14:00Z,2022-23-english-premier-league,False,regulation,638212,BHA,NEW,331,361,0,0,Bet365,138,230.0,200,2.5,110.0,-138.0
eng.1,2022,2022-08-13T14:00Z,2022-23-english-premier-league,False,regulation,638215,MNC,BOU,382,349,4,0,Bet365,-1200,1100.0,2000,2.5,-350.0,275.0
eng.1,2022,2022-08-13T14:00Z,2022-23-english-premier-league,False,regulation,638217,SOU,LEE,376,357,2,2,Bet365,140,250.0,180,2.5,-163.0,130.0
eng.1,2022,2022-08-13T14:00Z,2022-23-english-premier-league,False,regulation,638218,WOL,FUL,380,370,0,0,Bet365,120,240.0,230,2.5,-110.0,-110.0
eng.1,2022,2022-08-13T16:30Z,2022-23-english-premier-league,False,regulation,638211,BRE,MAN,337,360,4,0,Bet365,350,275.0,-133,2.5,-138.0,110.0
eng.1,2022,2022-08-14T13:00Z,2022-23-english-premier-league,False,regulation,638216,NFO,WHU,393,371,1,0,Bet365,280,250.0,-105,2.5,-110.0,-110.0
eng.1,2022,2022-08-14T15:30Z,2022-23-english-premier-league,False,regulation,638213,CHE,TOT,363,367,2,2,Bet365,110,250.0,250,2.5,-110.0,-110.0
eng.1,2022,2022-08-15T19:00Z,2022-23-english-premier-league,False,regulation,638214,LIV,CRY,364,384,1,1,Bet365,-350,475.0,1000,2.5,-175.0,138.0
eng.1,2022,2022-08-20T11:30Z,2022-23-english-premier-league,False,regulation,638227,TOT,WOL,367,380,1,0,Bet365,-250,375.0,650,2.5,-163.0,130.0
