league,player,matchId,home,away,penaltyWinner
family,Bene,760415,3,1,
family,Bene,760414,1,2,
family,Rebecca,760415,2,0,
family,Rebecca,760414,2,1,
family,Rebecca,760416,1,1,
family,Rebecca,760420,0,2,
family,Rebecca,760419,2,0,
family,Rebecca,760418,0,3,
family,Rebecca,760417,2,1,
family,Rebecca,760421,1,3,
family,Rebecca,760422,5,0,
family,Rebecca,760423,2,0,
family,Rebecca,760425,2,1,
family,Rebecca,760424,2,1,
family,Nils,760415,2,1,
family,Nils,760414,1,1,
family,Nils,760416,0,1,
family,Nils,760417,3,0,
family,Nils,760420,0,2,
family,Nils,760419,4,0,
family,Nils,760418,0,3,
family,Nils,760421,2,3,
family,Oma,760415,3,1,
family,Oma,760414,1,2,
family,Holger,760415,3,1,
family,Holger,760414,1,1,
oppenheimer,Eike,760415,1,0,
oppenheimer,Eike,760414,1,0,
oppenheimer,Daniel,760415,1,0,
oppenheimer,Daniel,760414,0,2,
oppenheimer,Daniel,760416,2,0,
oppenheimer,Daniel,760417,1,1,
oppenheimer,Alex,760415,2,0,
oppenheimer,Alex,760414,1,0,
oppenheimer,Alex,760438,1,0,
oppenheimer,Alex,760441,2,1,
oppenheimer,Alex,760466,0,1,
oppenheimer,Alex,760467,1,2,
oppenheimer,Alex,760416,1,0,
oppenheimer,Alex,760420,0,2,
oppenheimer,Alex,760439,2,1,
oppenheimer,Alex,760440,2,0,
oppenheimer,Alex,760462,2,1,
oppenheimer,Dominik,760415,2,0,
oppenheimer,Dominik,760414,1,1,
oppenheimer,Dominik,760416,1,0,
oppenheimer,Dominik,760420,0,2,
oppenheimer,Dominik,760417,1,0,
oppenheimer,Jörg,760415,2,0,
oppenheimer,Jörg,760414,1,0,
oppenheimer,Alex,760463,2,2,
oppenheimer,Alex,760419,3,1,
oppenheimer,Alex,760418,0,2,
oppenheimer,Alex,760464,3,0,
oppenheimer,Alex,760465,0,2,
oppenheimer,Alex,760417,2,0,
oppenheimer,Alex,760421,1,2,
oppenheimer,Alex,760422,3,0,
oppenheimer,Alex,760425,1,1,
oppenheimer,Alex,760423,1,1,
oppenheimer,Alex,760424,1,2,
oppenheimer,Alex,760428,4,0,
oppenheimer,Maike,760415,2,1,
