event_id,date,stage,knockout,state,status_detail,home,away,home_id,away_id,home_score,away_score,decided_by,winner,provider,home_ml,draw_ml,away_ml,over_under,over_odds,under_odds
760415,2026-06-11T19:00Z,group-stage,False,post,FT,MEX,RSA,203,467,2,0,regulation,home,DraftKings,-230,330.0,750,2.5,130.0,-160.0
760414,2026-06-12T02:00Z,group-stage,False,post,FT,KOR,CZE,451,450,2,1,regulation,home,DraftKings,160,210.0,200,2.5,110.0,-140.0
760416,2026-06-12T19:00Z,group-stage,False,post,FT,CAN,BIH,206,452,1,1,regulation,,DraftKings,-115,250.0,350,2.5,115.0,-145.0
760417,2026-06-13T01:00Z,group-stage,False,post,FT,USA,PAR,660,210,4,1,regulation,home,DraftKings,105,220.0,310,2.5,135.0,-170.0
760420,2026-06-13T19:00Z,group-stage,False,post,FT,QAT,SUI,4398,475,1,1,regulation,,DraftKings,1500,600.0,-525,2.5,-140.0,115.0
760419,2026-06-13T22:00Z,group-stage,False,post,FT,BRA,MAR,205,2869,1,1,regulation,,DraftKings,-150,265.0,475,2.5,120.0,-150.0
760418,2026-06-14T01:00Z,group-stage,False,post,FT,HAI,SCO,2654,580,0,1,regulation,away,DraftKings,425,320.0,-160,2.5,-150.0,120.0
760421,2026-06-14T04:00Z,group-stage,False,post,FT,AUS,TUR,628,465,2,0,regulation,home,DraftKings,425,270.0,-135,2.5,105.0,-130.0
760422,2026-06-14T17:00Z,group-stage,False,post,FT,GER,CUW,481,11678,7,1,regulation,home,DraftKings,-3000,1500.0,2800,4.5,120.0,-150.0
760425,2026-06-14T20:00Z,group-stage,False,post,FT,NED,JPN,449,627,2,2,regulation,,DraftKings,100,240.0,270,2.5,100.0,-125.0
760423,2026-06-14T23:00Z,group-stage,False,post,FT,CIV,ECU,4789,209,1,0,regulation,home,DraftKings,225,200.0,150,1.5,-180.0,145.0
760424,2026-06-15T02:00Z,group-stage,False,post,FT,SWE,TUN,466,659,5,1,regulation,home,DraftKings,-110,240.0,350,2.5,120.0,-150.0
760428,2026-06-15T16:00Z,group-stage,False,post,FT,ESP,CPV,164,2597,0,0,regulation,,DraftKings,-1000,1000.0,2000,3.5,-125.0,100.0
760426,2026-06-15T19:00Z,group-stage,False,post,FT,BEL,EGY,459,2620,1,1,regulation,,DraftKings,-200,320.0,550,2.5,-115.0,-105.0
760429,2026-06-15T22:00Z,group-stage,False,post,FT,KSA,URU,655,212,1,1,regulation,,DraftKings,650,310.0,-205,2.5,120.0,-150.0
760427,2026-06-16T01:00Z,group-stage,False,post,FT,IRN,NZL,469,2666,2,2,regulation,,DraftKings,-115,245.0,350,2.5,150.0,-190.0
760432,2026-06-16T19:00Z,group-stage,False,post,FT,FRA,SEN,478,654,3,1,regulation,home,DraftKings,-200,340.0,550,2.5,-150.0,120.0
760430,2026-06-16T22:00Z,group-stage,False,post,FT,IRQ,NOR,4375,464,1,4,regulation,away,DraftKings,1200,550.0,-425,2.5,-160.0,130.0
760433,2026-06-17T01:00Z,group-stage,False,post,FT,ARG,ALG,202,624,3,0,regulation,home,DraftKings,-185,310.0,550,2.5,105.0,-130.0
760431,2026-06-17T04:00Z,group-stage,False,post,FT,AUT,JOR,474,2917,3,1,regulation,home,DraftKings,-255,380.0,800,2.5,-110.0,-110.0
760435,2026-06-17T17:00Z,group-stage,False,post,FT,POR,COD,482,2850,1,1,regulation,,DraftKings,-350,450.0,1100,2.5,-125.0,100.0
760437,2026-06-17T20:00Z,group-stage,False,post,FT,ENG,CRO,448,477,4,2,regulation,home,DraftKings,-155,285.0,450,2.5,100.0,-120.0
760434,2026-06-17T23:00Z,group-stage,False,post,FT,GHA,PAN,4469,2659,1,0,regulation,home,DraftKings,135,215.0,230,2.5,135.0,-165.0
760436,2026-06-18T02:00Z,group-stage,False,post,FT,UZB,COL,2570,208,1,3,regulation,away,DraftKings,1000,450.0,-330,2.5,-145.0,115.0
760438,2026-06-18T16:00Z,group-stage,False,post,FT,CZE,RSA,450,467,1,1,regulation,,DraftKings,-115,240.0,370,2.5,125.0,-150.0
760439,2026-06-18T19:00Z,group-stage,False,post,FT,SUI,BIH,475,452,4,1,regulation,home,DraftKings,-175,320.0,500,2.5,-115.0,-105.0
760440,2026-06-18T22:00Z,group-stage,False,post,FT,CAN,QAT,206,4398,6,0,regulation,home,DraftKings,-390,500.0,1100,2.5,-140.0,115.0
760441,2026-06-19T01:00Z,group-stage,False,post,FT,MEX,KOR,203,451,1,0,regulation,home,DraftKings,100,220.0,330,2.5,125.0,-155.0
760442,2026-06-19T19:00Z,group-stage,False,post,FT,USA,AUS,660,628,2,0,regulation,home,DraftKings,-180,320.0,500,2.5,105.0,-130.0
760445,2026-06-19T22:00Z,group-stage,False,post,FT,SCO,MAR,580,2869,0,1,regulation,away,DraftKings,425,270.0,-140,2.5,105.0,-135.0
760444,2026-06-20T00:30Z,group-stage,False,post,FT,BRA,HAI,205,2654,3,0,regulation,home,DraftKings,-900,950.0,1900,3.5,-105.0,-115.0
760443,2026-06-20T03:00Z,group-stage,False,post,FT,TUR,PAR,465,210,0,1,regulation,away,DraftKings,110,235.0,280,2.5,110.0,-135.0
760447,2026-06-20T17:00Z,group-stage,False,post,FT,NED,SWE,449,466,5,1,regulation,home,DraftKings,-140,300.0,380,2.5,-155.0,125.0
760448,2026-06-20T20:00Z,group-stage,False,post,FT,GER,CIV,481,4789,2,1,regulation,home,DraftKings,-215,370.0,550,2.5,-155.0,125.0
760446,2026-06-21T00:00Z,group-stage,False,post,FT,ECU,CUW,209,11678,0,0,regulation,,DraftKings,-650,750.0,1500,3.5,135.0,-165.0
760449,2026-06-21T04:00Z,group-stage,False,post,FT,TUN,JPN,659,627,0,4,regulation,away,DraftKings,800,330.0,-225,2.5,105.0,-130.0
760453,2026-06-21T16:00Z,group-stage,False,post,FT,ESP,KSA,164,655,4,0,regulation,home,DraftKings,-900,1000.0,2000,3.5,-115.0,-110.0
760451,2026-06-21T19:00Z,group-stage,False,post,FT,BEL,IRN,459,469,0,0,regulation,,DraftKings,-230,350.0,700,2.5,-115.0,-110.0
760450,2026-06-21T22:00Z,group-stage,False,post,FT,URU,CPV,212,2597,2,2,regulation,,DraftKings,-250,360.0,800,2.5,105.0,-130.0
760452,2026-06-22T01:00Z,group-stage,False,post,FT,NZL,EGY,2666,2620,1,3,regulation,away,DraftKings,500,285.0,-160,2.5,120.0,-150.0
760456,2026-06-22T17:00Z,group-stage,False,post,FT,ARG,AUT,202,474,2,0,regulation,home,DraftKings,-225,350.0,700,2.5,-105.0,-115.0
760457,2026-06-22T21:00Z,group-stage,False,post,FT,FRA,IRQ,478,4375,3,0,regulation,home,DraftKings,-1200,1100.0,2500,3.5,-125.0,100.0
760454,2026-06-23T00:00Z,group-stage,False,post,FT,NOR,SEN,464,654,3,2,regulation,home,DraftKings,145,240.0,190,2.5,-125.0,100.0
760455,2026-06-23T03:00Z,group-stage,False,post,FT,JOR,ALG,2917,624,1,2,regulation,away,DraftKings,600,350.0,-210,2.5,-120.0,-105.0
760461,2026-06-23T17:00Z,group-stage,False,post,FT,POR,UZB,482,2570,5,0,regulation,home,DraftKings,-700,750.0,1900,3.5,105.0,-135.0
760458,2026-06-23T20:00Z,group-stage,False,post,FT,ENG,GHA,448,4469,0,0,regulation,,DraftKings,-550,650.0,1500,2.5,-170.0,140.0
760460,2026-06-23T23:00Z,group-stage,False,post,FT,PAN,CRO,2659,477,0,1,regulation,away,DraftKings,700,360.0,-230,2.5,-135.0,110.0
760459,2026-06-24T02:00Z,group-stage,False,post,FT,COL,COD,208,2850,1,0,regulation,home,DraftKings,-195,300.0,650,2.5,115.0,-140.0
760462,2026-06-24T19:00Z,group-stage,False,post,FT,BIH,QAT,452,4398,3,1,regulation,home,DraftKings,-235,400.0,600,2.5,-145.0,115.0
760463,2026-06-24T19:00Z,group-stage,False,post,FT,SUI,CAN,475,206,2,1,regulation,home,DraftKings,165,195.0,210,2.5,125.0,-150.0
760464,2026-06-24T22:00Z,group-stage,False,post,FT,MAR,HAI,2869,2654,4,2,regulation,home,DraftKings,-330,475.0,900,2.5,-160.0,130.0
760465,2026-06-24T22:00Z,group-stage,False,post,FT,SCO,BRA,580,205,0,3,regulation,away,DraftKings,900,425.0,-300,2.5,-125.0,100.0
760466,2026-06-25T01:00Z,group-stage,False,post,FT,RSA,KOR,467,451,1,0,regulation,home,DraftKings,425,265.0,-140,2.5,125.0,-155.0
760467,2026-06-25T01:00Z,group-stage,False,post,FT,CZE,MEX,450,203,0,3,regulation,away,DraftKings,380,285.0,-135,2.5,110.0,-135.0
760468,2026-06-25T20:00Z,group-stage,False,post,FT,ECU,GER,209,481,2,1,regulation,home,DraftKings,330,320.0,-130,2.5,-145.0,120.0
760473,2026-06-25T20:00Z,group-stage,False,post,FT,CUW,CIV,11678,4789,0,2,regulation,away,DraftKings,1400,700.0,-550,3.5,120.0,-150.0
760471,2026-06-25T23:00Z,group-stage,False,post,FT,JPN,SWE,627,466,1,1,regulation,,DraftKings,140,240.0,205,2.5,-120.0,-105.0
760472,2026-06-25T23:00Z,group-stage,False,post,FT,TUN,NED,659,449,1,3,regulation,away,DraftKings,1800,750.0,-700,3.5,100.0,-120.0
760469,2026-06-26T02:00Z,group-stage,False,post,FT,PAR,AUS,210,628,0,0,regulation,,DraftKings,155,140.0,330,1.5,-115.0,-110.0
760470,2026-06-26T02:00Z,group-stage,False,post,FT,TUR,USA,465,660,3,2,regulation,home,DraftKings,245,285.0,105,2.5,-155.0,125.0
760474,2026-06-26T19:00Z,group-stage,False,post,FT,SEN,IRQ,654,4375,5,0,regulation,home,DraftKings,-475,600.0,1100,3.5,120.0,-145.0
760475,2026-06-26T19:00Z,group-stage,False,post,FT,NOR,FRA,464,478,1,4,regulation,away,DraftKings,700,475.0,-290,3.5,120.0,-150.0
760478,2026-06-27T00:00Z,group-stage,False,post,FT,CPV,KSA,2597,655,0,0,regulation,,DraftKings,150,250.0,180,2.5,110.0,-135.0
760479,2026-06-27T00:00Z,group-stage,False,post,FT,URU,ESP,212,164,0,1,regulation,away,DraftKings,475,265.0,-145,2.5,-105.0,-120.0
760476,2026-06-27T03:00Z,group-stage,False,post,FT,EGY,IRN,2620,469,1,1,regulation,,DraftKings,165,170.0,240,1.5,-170.0,135.0
760477,2026-06-27T03:00Z,group-stage,False,post,FT,NZL,BEL,2666,459,1,5,regulation,away,DraftKings,1300,700.0,-550,3.5,-145.0,120.0
760480,2026-06-27T21:00Z,group-stage,False,post,FT,CRO,GHA,477,4469,2,1,regulation,home,DraftKings,-125,230.0,450,2.5,135.0,-165.0
760485,2026-06-27T21:00Z,group-stage,False,post,FT,PAN,ENG,2659,448,0,2,regulation,away,DraftKings,1500,750.0,-650,3.5,100.0,-125.0
760481,2026-06-27T23:30Z,group-stage,False,post,FT,COL,POR,208,482,0,0,regulation,,DraftKings,320,300.0,-125,2.5,-140.0,115.0
760482,2026-06-27T23:30Z,group-stage,False,post,FT,COD,UZB,2850,2570,3,1,regulation,home,DraftKings,-145,290.0,425,2.5,115.0,-145.0
760483,2026-06-28T02:00Z,group-stage,False,post,FT,JOR,ARG,2917,202,1,3,regulation,away,DraftKings,1800,750.0,-700,2.5,-175.0,140.0
760484,2026-06-28T02:00Z,group-stage,False,post,FT,ALG,AUT,624,474,3,3,regulation,,DraftKings,250,105.0,270,1.5,-180.0,145.0
760486,2026-06-28T19:00Z,round-of-32,True,post,FT,RSA,CAN,467,206,0,1,regulation,away,DraftKings,380,240.0,-115,2.5,120.0,-150.0
760487,2026-06-29T17:00Z,round-of-32,True,post,FT,BRA,JPN,205,627,2,1,regulation,home,DraftKings,-135,260.0,425,2.5,120.0,-150.0
760489,2026-06-29T20:30Z,round-of-32,True,post,FT-Pens,GER,PAR,481,210,1,1,penalties,away,DraftKings,-300,400.0,950,2.5,-150.0,120.0
760488,2026-06-30T01:00Z,round-of-32,True,post,FT-Pens,NED,MAR,449,2869,1,1,penalties,away,DraftKings,145,210.0,230,2.5,115.0,-140.0
760490,2026-06-30T17:00Z,round-of-32,True,post,FT,CIV,NOR,4789,464,1,2,regulation,away,DraftKings,260,230.0,115,2.5,-120.0,-105.0
760492,2026-06-30T21:00Z,round-of-32,True,post,FT,FRA,SWE,478,466,3,0,regulation,home,DraftKings,-340,500.0,900,3.5,105.0,-130.0
760491,2026-07-01T02:00Z,round-of-32,True,post,FT,MEX,ECU,203,209,2,0,regulation,home,DraftKings,135,175.0,295,1.5,-145.0,115.0
760495,2026-07-01T16:00Z,round-of-32,True,post,FT,ENG,COD,448,2850,2,1,regulation,home,DraftKings,-330,400.0,1200,2.5,-110.0,-110.0
760493,2026-07-01T20:00Z,round-of-32,True,post,AET,BEL,SEN,459,654,3,2,extra_time,home,DraftKings,-105,245.0,310,2.5,-135.0,110.0
760494,2026-07-02T00:00Z,round-of-32,True,post,FT,USA,BIH,660,452,2,0,regulation,home,DraftKings,-270,400.0,750,2.5,-160.0,125.0
760497,2026-07-02T19:00Z,round-of-32,True,post,FT,ESP,AUT,164,474,3,0,regulation,home,DraftKings,-285,400.0,850,2.5,-140.0,115.0
760496,2026-07-02T23:00Z,round-of-32,True,post,FT,POR,CRO,482,477,2,1,regulation,home,DraftKings,-145,270.0,450,2.5,-130.0,105.0
760498,2026-07-03T03:00Z,round-of-32,True,post,FT,SUI,ALG,475,624,2,0,regulation,home,DraftKings,100,225.0,330,2.5,115.0,-140.0
760499,2026-07-03T18:00Z,round-of-32,True,post,FT-Pens,AUS,EGY,628,2620,1,1,penalties,away,DraftKings,255,175.0,150,1.5,-170.0,135.0
760500,2026-07-03T22:00Z,round-of-32,True,post,AET,ARG,CPV,202,2597,3,2,extra_time,home,DraftKings,-700,700.0,1800,2.5,-160.0,130.0
760501,2026-07-04T01:30Z,round-of-32,True,post,FT,COL,GHA,208,4469,1,0,regulation,home,DraftKings,-225,320.0,750,2.5,110.0,-135.0
760502,2026-07-04T17:00Z,round-of-16,True,post,FT,CAN,MAR,206,2869,0,3,regulation,away,DraftKings,400,230.0,-125,2.5,135.0,-165.0
760503,2026-07-04T21:00Z,round-of-16,True,post,FT,PAR,FRA,210,478,0,1,regulation,away,DraftKings,1600,500.0,-500,2.5,-140.0,115.0
760504,2026-07-05T20:00Z,round-of-16,True,post,FT,BRA,NOR,205,464,1,2,regulation,away,DraftKings,-135,270.0,370,2.5,-135.0,110.0
760505,2026-07-06T01:00Z,round-of-16,True,post,FT,MEX,ENG,203,448,2,3,regulation,away,DraftKings,205,200.0,155,2.5,145.0,-185.0
760506,2026-07-06T19:00Z,round-of-16,True,post,FT,POR,ESP,482,164,0,1,regulation,away,DraftKings,290,255.0,-105,2.5,-130.0,105.0
760507,2026-07-07T00:00Z,round-of-16,True,post,FT,USA,BEL,660,459,1,4,regulation,away,DraftKings,155,225.0,185,2.5,-125.0,105.0
760509,2026-07-07T16:00Z,round-of-16,True,post,FT,ARG,EGY,202,2620,3,2,regulation,home,DraftKings,-310,390.0,1000,2.5,100.0,-125.0
760508,2026-07-07T20:00Z,round-of-16,True,post,FT-Pens,SUI,COL,475,208,0,0,penalties,home,DraftKings,250,185.0,140,2.5,135.0,-170.0
760510,2026-07-09T20:00Z,quarterfinals,True,post,FT,FRA,MAR,478,2869,2,0,regulation,home,DraftKings,-170,280.0,500,2.5,-115.0,-110.0
760511,2026-07-10T19:00Z,quarterfinals,True,post,FT,ESP,BEL,164,459,2,1,regulation,home,DraftKings,-165,290.0,475,2.5,-140.0,115.0
760512,2026-07-11T21:00Z,quarterfinals,True,post,AET,NOR,ENG,464,448,1,2,extra_time,away,DraftKings,330,280.0,-125,2.5,-135.0,110.0
760513,2026-07-12T01:00Z,quarterfinals,True,post,AET,ARG,SUI,202,475,3,1,extra_time,home,DraftKings,-135,225.0,500,2.5,130.0,-160.0
760514,2026-07-14T19:00Z,semifinals,True,post,FT,FRA,ESP,478,164,0,2,regulation,away,DraftKings,160,190.0,210,2.5,-115.0,-105.0
760515,2026-07-15T19:00Z,semifinals,True,post,FT,ENG,ARG,448,202,1,2,regulation,away,DraftKings,170,180.0,205,2.5,140.0,-175.0
760516,2026-07-18T21:00Z,3rd-place-match,True,pre,Scheduled,FRA,ENG,478,448,,,,,DraftKings,-115,285.0,285,3.5,115.0,-145.0
760517,2026-07-19T19:00Z,final,True,pre,Scheduled,ESP,ARG,164,202,,,,,DraftKings,130,195.0,255,2.5,130.0,-160.0
