event_id,date,stage,knockout,state,home,away,home_score,away_score,p_home,p_draw,p_away,over_under,implied_mean,ml_home,ml_away,pick_home,pick_away,pen_winner,exp_points,actual_points,fav1_home,fav1_away,fav1_actual_points
760415,2026-06-11T19:00Z,group-stage,False,post,MEX,RSA,2,0,0.6656,0.2221,0.1123,2.5,2.338,1,0,1,0,,1.1076,1,1,0,1
760414,2026-06-12T02:00Z,group-stage,False,post,KOR,CZE,2,1,0.3696,0.31,0.3203,2.5,2.474,1,1,1,0,,0.7096,2,1,0,2
760416,2026-06-12T19:00Z,group-stage,False,pre,CAN,BIH,,,0.5247,0.2749,0.2004,2.5,2.327,1,0,1,0,,0.932,,1,0,
760417,2026-06-13T01:00Z,group-stage,False,pre,USA,PAR,,,0.4556,0.299,0.2453,2.5,2.215,1,0,1,0,,0.8519,,1,0,
760420,2026-06-13T19:00Z,group-stage,False,pre,QAT,SUI,,,0.0685,0.1474,0.7841,2.5,2.926,0,2,0,2,,1.1648,,1,2,
760419,2026-06-13T22:00Z,group-stage,False,pre,BRA,MAR,,,0.5855,0.247,0.1675,2.5,2.528,1,0,1,0,,0.9827,,1,0,
760418,2026-06-14T01:00Z,group-stage,False,pre,HAI,SCO,,,0.1601,0.2287,0.6112,2.5,2.674,0,1,0,1,,0.9918,,1,2,
760421,2026-06-14T04:00Z,group-stage,False,pre,AUS,TUR,,,0.1911,0.2515,0.5574,2.5,2.569,0,1,0,1,,0.9406,,0,1,
760422,2026-06-14T17:00Z,group-stage,False,pre,GER,CUW,,,0.9089,0.0587,0.0324,4.5,4.423,3,0,3,0,,1.2078,,2,1,
760425,2026-06-14T20:00Z,group-stage,False,pre,NED,JPN,,,0.4778,0.2666,0.2556,2.5,2.653,1,1,1,0,,0.8273,,2,1,
760423,2026-06-14T23:00Z,group-stage,False,pre,CIV,ECU,,,0.2679,0.3384,0.3937,1.5,2.0,0,1,0,1,,0.7972,,0,1,
760424,2026-06-15T02:00Z,group-stage,False,pre,SWE,TUN,,,0.5007,0.277,0.2223,2.5,2.437,1,0,1,0,,0.8864,,1,0,
760428,2026-06-15T16:00Z,group-stage,False,pre,ESP,CPV,,,0.8834,0.0798,0.0368,3.5,3.647,3,0,2,0,,1.2229,,2,1,
760426,2026-06-15T19:00Z,group-stage,False,pre,BEL,EGY,,,0.5958,0.2396,0.1646,2.5,2.611,1,0,1,0,,0.9837,,1,0,
